,LogStartTime,LogID,PullNumber,PullDuration,BossPercentage,FightPercentage,LastPhase,LastPhaseIntermission,P2Glitch,P3Defamation
213,1674988826821,gBYPxnLW1w3zMahQ,23,60832,52.82,95.28,1,0,N,N
214,1674988906491,gBYPxnLW1w3zMahQ,24,54351,52.22,95.22,1,0,N,N
215,1674988980565,gBYPxnLW1w3zMahQ,25,114921,12.86,91.28,1,0,N,N
216,1674989118738,gBYPxnLW1w3zMahQ,26,58994,52.25,95.22,1,0,N,N
217,1674989197185,gBYPxnLW1w3zMahQ,27,121799,13.93,91.39,1,0,N,N
218,1674989338753,gBYPxnLW1w3zMahQ,28,133819,3.89,90.38,1,0,N,N
219,1674989515321,gBYPxnLW1w3zMahQ,29,45400,58.81,95.88,1,0,N,N
220,1674989583317,gBYPxnLW1w3zMahQ,30,182143,66.68,86.66,2,0,R,N
221,1674989795778,gBYPxnLW1w3zMahQ,31,52325,56.1,95.61,1,0,N,N
222,1674990280037,gBYPxnLW1w3zMahQ,33,121102,11.19,91.11,1,0,N,N
223,1674990425679,gBYPxnLW1w3zMahQ,34,42712,65.23,96.52,1,0,N,N
224,1674990485530,gBYPxnLW1w3zMahQ,35,60610,53.28,95.32,1,0,N,N
225,1674990563514,gBYPxnLW1w3zMahQ,36,113721,17.67,91.76,1,0,N,N
226,1674990777510,gBYPxnLW1w3zMahQ,37,117469,14.28,91.42,1,0,N,N
227,1674990917313,gBYPxnLW1w3zMahQ,38,180053,67.59,86.75,2,0,M,N
228,1674991125959,gBYPxnLW1w3zMahQ,39,181456,76.25,87.62,2,0,R,N
229,1674991367634,gBYPxnLW1w3zMahQ,40,118988,17.06,91.7,1,0,N,N
230,1674991505949,gBYPxnLW1w3zMahQ,41,117253,14.06,91.4,1,0,N,N
231,1674991659728,gBYPxnLW1w3zMahQ,42,43076,61.89,96.18,1,0,N,N
232,1674992065973,gBYPxnLW1w3zMahQ,44,179550,68.83,86.88,2,0,M,N
233,1674992343905,gBYPxnLW1w3zMahQ,45,38648,65.63,96.56,1,0,N,N
234,1674992403538,gBYPxnLW1w3zMahQ,46,56186,53.44,95.34,1,0,N,N
235,1674992478522,gBYPxnLW1w3zMahQ,47,63983,49.91,94.99,1,0,N,N
236,1674992560932,gBYPxnLW1w3zMahQ,48,49849,58.86,95.88,1,0,N,N
237,1674992642082,gBYPxnLW1w3zMahQ,49,79532,47.49,94.74,1,0,N,N
238,1674992809901,gBYPxnLW1w3zMahQ,50,57926,52.36,95.23,1,0,N,N
239,1674992920190,gBYPxnLW1w3zMahQ,51,133929,0.56,90.05,1,0,N,N
240,1674993073466,gBYPxnLW1w3zMahQ,52,33833,100.0,100.0,1,0,N,N
241,1674993308215,gBYPxnLW1w3zMahQ,53,68404,45.33,94.53,1,0,N,N
242,1674993396990,gBYPxnLW1w3zMahQ,54,110299,22.53,92.25,1,0,N,N
243,1674993525720,gBYPxnLW1w3zMahQ,55,180173,66.34,86.63,2,0,M,N
244,1674993728059,gBYPxnLW1w3zMahQ,56,52386,57.0,95.7,1,0,N,N
245,1674993799119,gBYPxnLW1w3zMahQ,57,189049,66.75,86.67,2,0,R,N
246,1674994893018,gBYPxnLW1w3zMahQ,58,112832,16.18,91.61,1,0,N,N
247,1674995024046,gBYPxnLW1w3zMahQ,59,133566,1.94,90.19,1,0,N,N
248,1674995175376,gBYPxnLW1w3zMahQ,60,105091,19.42,91.94,1,0,N,N
249,1674995298333,gBYPxnLW1w3zMahQ,61,191502,71.82,87.18,2,0,M,N
250,1674995517516,gBYPxnLW1w3zMahQ,62,49039,56.69,95.66,1,0,N,N
251,1674995585317,gBYPxnLW1w3zMahQ,63,97884,25.89,92.58,1,0,N,N
252,1674995730983,gBYPxnLW1w3zMahQ,64,99723,22.22,92.22,1,0,N,N
253,1674995851363,gBYPxnLW1w3zMahQ,65,188009,67.78,86.77,2,0,M,N
254,1674996415453,gBYPxnLW1w3zMahQ,66,63772,48.42,94.84,1,0,N,N
255,1674996505126,gBYPxnLW1w3zMahQ,67,65201,49.44,94.94,1,0,N,N
256,1674996588446,gBYPxnLW1w3zMahQ,68,116760,15.65,91.56,1,0,N,N
257,1674996726753,gBYPxnLW1w3zMahQ,69,98040,25.1,92.51,1,0,N,N
258,1674996843752,gBYPxnLW1w3zMahQ,70,110935,21.52,92.15,1,0,N,N
259,1674997004172,gBYPxnLW1w3zMahQ,71,100588,24.29,92.42,1,0,N,N
260,1674997127212,gBYPxnLW1w3zMahQ,72,60511,50.82,95.08,1,0,N,N
261,1674997216305,gBYPxnLW1w3zMahQ,73,103882,26.32,92.63,1,0,N,N
262,1674997338402,gBYPxnLW1w3zMahQ,74,108406,21.11,92.11,1,0,N,N
263,1674997472016,gBYPxnLW1w3zMahQ,75,133899,2.86,90.28,1,0,N,N
264,1674997626036,gBYPxnLW1w3zMahQ,76,102730,23.58,92.35,1,0,N,N
265,1674998416240,gBYPxnLW1w3zMahQ,77,52274,53.66,95.36,1,0,N,N
266,1674998491282,gBYPxnLW1w3zMahQ,78,133822,0.73,90.07,1,0,N,N
267,1674998671229,gBYPxnLW1w3zMahQ,79,108122,18.03,91.8,1,0,N,N
268,1674998808439,gBYPxnLW1w3zMahQ,80,192510,66.75,86.67,2,0,M,N
269,1674999046787,gBYPxnLW1w3zMahQ,81,125163,14.35,91.43,1,0,N,N
270,1674999204068,gBYPxnLW1w3zMahQ,82,134016,1.53,90.15,1,0,N,N
271,1674999357734,gBYPxnLW1w3zMahQ,83,94716,24.32,92.43,1,0,N,N
272,1674999489540,gBYPxnLW1w3zMahQ,84,133895,1.98,90.19,1,0,N,N
273,1674999644802,gBYPxnLW1w3zMahQ,85,114458,15.67,91.56,1,0,N,N
274,1675000175140,gBYPxnLW1w3zMahQ,86,47144,56.66,95.66,1,0,N,N
275,1675000242463,gBYPxnLW1w3zMahQ,87,180457,68.11,86.81,2,0,R,N
276,1675000475111,gBYPxnLW1w3zMahQ,88,54364,54.9,95.49,1,0,N,N
277,1675000546249,gBYPxnLW1w3zMahQ,89,103875,23.31,92.33,1,0,N,N
278,1675000667303,gBYPxnLW1w3zMahQ,90,50863,56.29,95.62,1,0,N,N
279,1675000735570,gBYPxnLW1w3zMahQ,91,122983,9.92,90.99,1,0,N,N
280,1675073132008,GgNaRmYM6tPwKz4T,12,133993,0.18,90.01,1,0,N,N
281,1675073290600,GgNaRmYM6tPwKz4T,13,63378,48.51,94.85,1,0,N,N
282,1675073371258,GgNaRmYM6tPwKz4T,14,181498,71.8,87.18,2,0,R,N
283,1675073597694,GgNaRmYM6tPwKz4T,15,189731,67.46,86.74,2,0,R,N
284,1675073912849,GgNaRmYM6tPwKz4T,16,47986,58.05,95.8,1,0,N,N
285,1675073982814,GgNaRmYM6tPwKz4T,17,191463,67.11,86.71,2,0,M,N
286,1675074228519,GgNaRmYM6tPwKz4T,18,64781,48.38,94.83,1,0,N,N
287,1675074311727,GgNaRmYM6tPwKz4T,19,38857,66.58,96.65,1,0,N,N
288,1675074916859,GgNaRmYM6tPwKz4T,22,63530,48.27,94.82,1,0,N,N
289,1675075003762,GgNaRmYM6tPwKz4T,23,54501,55.1,95.51,1,0,N,N
