Rank,Job,Link,Astrologian,Bard,BlackMage,DarkKnight,Dragoon,Machinist,Monk,Ninja,Paladin,Scholar,Summoner,Warrior,WhiteMage,Red Mage,Samurai,Dancer,Gunbreaker,Reaper,Sage,TotalDPS,TotalTime,P1DPS,P1Time,P2DPS,P2Time,P3DPS,P3Time,P4DPS,P4Time,P5DPS,P5Time,P6DPS,P6Time
2403,Astrologian,https://www.fflogs.com/reports/fcPtnC37gxyBXmMR#fight=4&type=damage-done,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,6392.2,1141.8s,5805.0,128.7s,6635.8,143.3s,6649.2,191.0s,5254.1,71.8s,7152.8,285.9s,6243.7,321.1s
2404,Scholar,https://www.fflogs.com/reports/tkG84Z2NbwYzvRmx#fight=12&type=damage-done,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,6388.6,1144.7s,5874.6,129.9s,6566.3,144.6s,6265.8,192.3s,5205.3,71.6s,7506.8,286.0s,6275.7,320.3s
2405,WhiteMage,https://www.fflogs.com/reports/zcBWTXFqkHtK9bC2#fight=8&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,6386.8,1144.6s,5753.5,129.7s,7846.4,144.3s,6061.6,191.2s,6321.4,71.4s,7011.6,286.1s,5931.6,321.8s
2406,WhiteMage,https://www.fflogs.com/reports/XfBrQT1bFWVwqLCY#fight=4&type=damage-done,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,6386.7,1145.8s,5807.1,129.7s,7409.0,143.1s,5875.6,193.5s,7400.4,71.7s,6780.2,286.0s,6116.0,321.8s
2407,WhiteMage,https://www.fflogs.com/reports/vjGCxDrJbNWLhKca#fight=68&type=damage-done,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,6386.6,1142.8s,5665.6,128.9s,7872.8,143.8s,5441.2,190.3s,7579.5,71.6s,7246.6,285.9s,5943.9,322.4s
2408,Sage,https://www.fflogs.com/reports/FzTyR48WBvnp9V2d#fight=2&type=damage-done,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,6372.9,1137.6s,6628.4,130.1s,7060.4,142.9s,6283.9,188.4s,6240.1,71.6s,6703.4,285.9s,5848.7,318.6s
2409,Astrologian,https://www.fflogs.com/reports/PLfw9FHNJVbBdngZ#fight=29&type=damage-done,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,6384.2,1148.0s,6173.8,130.2s,6692.4,144.0s,6574.2,193.1s,5052.0,71.6s,7510.7,286.0s,5910.4,323.2s
2410,WhiteMage,https://www.fflogs.com/reports/8jX9YxvTVGDqLHFg#fight=10&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,6383.4,1147.1s,6164.6,129.2s,6892.8,144.0s,6373.1,193.8s,6846.8,71.5s,6917.5,285.9s,5893.6,322.7s
2411,Astrologian,https://www.fflogs.com/reports/ykfChdTVRMrZ2wPX#fight=5&type=damage-done,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,6380.1,1138.8s,6268.5,129.7s,6384.3,141.4s,6097.2,189.9s,5750.7,71.6s,7435.0,286.0s,6160.0,320.2s
2412,Astrologian,https://www.fflogs.com/reports/6BgTYjc2J8NLqWQ4#fight=7&type=damage-done,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,6167.0,1146.4s,6132.3,129.7s,6180.3,143.9s,5968.3,191.9s,6269.8,71.6s,7028.5,286.0s,5813.0,323.3s
