Rank,Job,Link,Astrologian,Bard,BlackMage,DarkKnight,Dragoon,Machinist,Monk,Ninja,Paladin,Scholar,Summoner,Warrior,WhiteMage,Red Mage,Samurai,Dancer,Gunbreaker,Reaper,Sage,TotalDPS,TotalTime,P1DPS,P1Time,P2DPS,P2Time,P3DPS,P3Time,P4DPS,P4Time,P5DPS,P5Time,P6DPS,P6Time
803,Samurai,https://www.fflogs.com/reports/j2dQtYqJzLTDkmcF#fight=18&type=damage-done,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,11097.8,1147.7s,10452.2,129.8s,10851.7,144.9s,10866.6,192.7s,10421.0,71.7s,12505.2,286.1s,11039.2,322.5s
804,Summoner,https://www.fflogs.com/reports/CHcP2aZkhgvyDBTA#fight=6&type=damage-done,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,11097.4,1132.5s,10033.3,130.6s,12390.8,136.3s,11248.5,187.3s,11790.7,71.6s,11531.4,286.0s,10628.9,320.7s
805,Summoner,https://www.fflogs.com/reports/21MQRHYt3zaPdVcD#fight=28&type=damage-done,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,11097.1,1144.9s,10014.2,130.0s,12322.2,143.5s,10300.7,193.5s,9450.8,71.4s,12762.3,286.0s,11018.2,320.5s
806,Summoner,https://www.fflogs.com/reports/KVk3AWmv9R7gz8YP#fight=21&type=damage-done,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,11096.5,1142.8s,9546.1,130.3s,12877.1,138.4s,10535.0,193.9s,11128.2,71.6s,12276.6,286.2s,10817.1,322.5s
807,Summoner,https://www.fflogs.com/reports/mdftqhD6vKYJF3r4#fight=17&type=damage-done,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,11096.4,1143.1s,9537.5,128.8s,12065.5,143.0s,10572.8,191.7s,10505.0,71.6s,12819.9,286.1s,10936.7,321.8s
808,Summoner,https://www.fflogs.com/reports/3YtKXRGvmQq2PJp1#fight=3&type=damage-done,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,11096.0,1143.5s,10537.9,128.8s,11813.9,142.8s,11059.5,191.7s,9709.5,71.6s,12680.3,286.0s,10512.7,322.7s
809,Dancer,https://www.fflogs.com/reports/Dg7WwZGBLrqcmnX3#fight=23&type=damage-done,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,11095.9,1140.8s,10327.3,128.9s,11529.2,143.0s,11321.4,190.4s,8544.6,71.6s,12098.0,286.0s,11134.1,321.0s
810,Ninja,https://www.fflogs.com/reports/1N8TKMhapX4rF2fY#fight=3&type=damage-done,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,11094.8,1142.5s,10493.5,128.4s,11571.6,144.8s,11509.3,191.1s,8380.9,71.5s,13193.1,286.1s,10355.8,320.6s
811,Summoner,https://www.fflogs.com/reports/8kaqcrRvgwA671tH#fight=9&type=damage-done,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,11094.6,1145.2s,9858.5,129.8s,11825.2,143.5s,11258.7,191.3s,10495.7,71.6s,13000.4,286.0s,10383.0,323.1s
812,BlackMage,https://www.fflogs.com/reports/DRvT1myX9zVMPcQk#fight=19&type=damage-done,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,11093.3,1143.8s,11037.2,130.1s,10452.8,144.7s,10629.1,190.6s,13303.5,71.4s,12501.8,286.1s,10457.9,320.8s
813,RedMage,https://www.fflogs.com/reports/CN1nRh4P9VtqAGxd#fight=5&type=damage-done,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,11093.1,1137.4s,10229.3,127.7s,11395.7,144.3s,10757.8,188.4s,10189.2,71.6s,12803.8,286.1s,10831.5,319.4s
814,BlackMage,https://www.fflogs.com/reports/YjfhkmtKVWHgGLaZ#fight=24&type=damage-done,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,11092.7,1148.5s,10478.8,130.4s,10765.6,144.9s,10356.3,193.4s,12732.1,71.5s,12494.8,286.1s,10885.1,322.3s
815,RedMage,https://www.fflogs.com/reports/LpF8gNzdcRZ9fjq6#fight=6&type=damage-done,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,11092.1,1143.1s,10042.3,130.0s,11582.4,144.2s,10158.2,191.9s,12238.1,71.6s,12225.8,286.0s,11100.7,319.5s
816,Summoner,https://www.fflogs.com/reports/ypGq3MzFQba679vK#fight=75&type=damage-done,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,11090.1,1137.9s,10205.7,127.2s,11888.3,140.7s,11313.6,189.7s,10095.6,71.7s,12046.7,285.9s,10736.2,322.8s
817,Summoner,https://www.fflogs.com/reports/PLfw9FHNJVbBdngZ#fight=29&type=damage-done,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,11090.0,1148.0s,9677.8,130.2s,11553.7,144.0s,10810.5,193.1s,11356.2,71.6s,12289.0,286.0s,11046.5,323.2s
818,Summoner,https://www.fflogs.com/reports/f4YvA38Xmk9271HK#fight=23&type=damage-done,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,11089.7,1144.5s,9858.8,129.5s,12445.1,140.6s,10990.9,193.7s,9795.3,71.6s,12783.5,285.9s,10536.3,323.2s
819,Dancer,https://www.fflogs.com/reports/qWdcVf7yvwBnAJ8k#fight=8&type=damage-done,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,11089.4,1138.3s,9588.8,128.8s,12230.8,140.8s,11651.9,188.7s,8450.7,71.6s,12462.4,286.1s,10807.9,322.3s
820,BlackMage,https://www.fflogs.com/reports/PRYryAaZ69NpcVMJ#fight=18&type=damage-done,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,11089.4,1142.1s,10456.8,129.5s,11726.8,144.6s,10500.2,192.2s,11746.7,71.6s,12723.7,286.1s,10446.7,318.0s
821,Summoner,https://www.fflogs.com/reports/xJHnG9gzZL3jM7rT#fight=22&type=damage-done,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,11089.4,1143.6s,10437.8,129.2s,11634.3,143.8s,10199.8,191.4s,11551.9,71.6s,12376.1,286.0s,10909.0,321.7s
822,Summoner,https://www.fflogs.com/reports/wpK4yhkFZrWnMCVY#fight=17&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11088.8,1147.9s,10574.2,129.7s,11419.5,144.9s,10639.2,192.6s,10673.8,71.7s,12178.3,286.0s,10963.7,323.0s
823,Samurai,https://www.fflogs.com/reports/X91h7Pn6tAay4mJR#fight=15&type=damage-done,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,11088.2,1141.5s,10392.8,127.5s,11200.2,142.8s,11398.0,191.1s,9813.5,71.7s,11905.0,286.2s,11011.2,322.1s
824,Dancer,https://www.fflogs.com/reports/ghqp4YXL3RbDHfWw#fight=40&type=damage-done,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,11088.1,1146.3s,9315.4,129.6s,12016.0,142.4s,11078.4,193.6s,7745.4,71.6s,13097.4,286.1s,11165.5,322.9s
825,Bard,https://www.fflogs.com/reports/n2grKRpJvNkwjD3b#fight=7&type=damage-done,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,11087.5,1136.7s,8916.1,130.4s,12299.6,137.3s,11412.8,192.8s,8886.9,71.6s,12260.7,286.2s,11281.4,318.4s
826,Monk,https://www.fflogs.com/reports/vjGCxDrJbNWLhKca#fight=68&type=damage-done,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,11086.5,1142.8s,10754.3,128.9s,10915.5,143.8s,10949.7,190.3s,9152.2,71.6s,12575.4,285.9s,10999.6,322.4s
827,Machinist,https://www.fflogs.com/reports/wc2NhmVktB4L9ZH8#fight=17&type=damage-done,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,11086.3,1136.6s,9988.5,129.8s,11896.0,143.9s,10541.6,187.4s,11790.5,71.7s,12057.4,286.1s,10914.3,317.6s
828,Samurai,https://www.fflogs.com/reports/4taAZCfc8MnkrTjy#fight=7&type=damage-done,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,11085.7,1145.5s,11035.1,130.4s,12275.0,142.1s,10732.9,193.4s,13532.8,71.6s,10624.0,286.1s,10561.5,322.0s
829,Samurai,https://www.fflogs.com/reports/dRbqzBPkAHmjpwrV#fight=23&type=damage-done,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,11085.6,1145.0s,10764.6,129.7s,11304.9,145.1s,10437.0,190.6s,12973.9,71.6s,11693.8,286.0s,10812.6,322.1s
830,Summoner,https://www.fflogs.com/reports/fZ7XKA6gyzDY43Nd#fight=8&type=damage-done,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,11085.1,1128.2s,10980.1,125.7s,12507.6,136.7s,9844.6,191.2s,12821.8,71.6s,11993.1,286.0s,10436.1,317.0s
831,Ninja,https://www.fflogs.com/reports/LDZAPnKNJYx9hGHm#fight=49&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11084.6,1146.8s,10052.4,130.5s,11569.0,144.9s,10785.6,190.7s,8647.6,71.6s,12774.5,286.0s,11145.2,323.1s
832,Ninja,https://www.fflogs.com/reports/HV6C2wR3Wtfm9bav#fight=37&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11081.4,1141.6s,10378.9,127.5s,9970.5,143.7s,11065.1,190.1s,8789.9,71.6s,13303.5,285.9s,11181.6,322.8s
833,Dragoon,https://www.fflogs.com/reports/hApdBrzVLNZJF2YX#fight=1&type=damage-done,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,11080.6,1144.4s,10349.4,128.0s,12258.6,143.3s,10902.6,192.6s,10100.2,71.6s,12009.6,286.0s,10734.0,322.9s
834,Dragoon,https://www.fflogs.com/reports/8jX9YxvTVGDqLHFg#fight=10&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11079.4,1147.1s,10088.2,129.2s,11934.5,144.0s,10064.1,193.8s,12635.4,71.5s,11582.0,285.9s,11210.2,322.7s
835,Monk,https://www.fflogs.com/reports/3YtKXRGvmQq2PJp1#fight=3&type=damage-done,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,11078.7,1143.5s,10610.3,128.8s,10971.4,142.8s,11607.9,191.7s,8541.0,71.6s,12190.1,286.0s,10958.8,322.7s
836,Ninja,https://www.fflogs.com/reports/2CytgfnBDKH3pbN9#fight=22&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11077.7,1146.4s,10410.3,128.1s,11142.7,144.4s,10996.2,193.2s,8108.4,71.6s,12720.5,286.1s,11145.2,323.1s
837,Ninja,https://www.fflogs.com/reports/94tjTfWDhaMZXm7b#fight=10&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,11077.6,1142.4s,11062.0,128.4s,11180.4,144.2s,9694.7,192.3s,11531.6,71.6s,12231.1,286.1s,11154.7,319.9s
838,Summoner,https://www.fflogs.com/reports/d8D37fQHakGcYNLK#fight=22&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11077.4,1143.9s,9837.7,128.3s,12256.6,145.2s,10600.0,191.2s,10156.5,71.6s,12858.2,286.0s,10671.6,321.5s
839,Monk,https://www.fflogs.com/reports/QmJkKNxaq19wrPnA#fight=31&type=damage-done,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,11077.2,1144.2s,10065.3,130.2s,11667.3,143.1s,10308.4,193.2s,10495.8,71.5s,12669.4,286.1s,11040.5,320.0s
840,Ninja,https://www.fflogs.com/reports/2Bg6AYjt9TvNyFHc#fight=41&type=damage-done,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,11076.8,1148.5s,9573.9,131.2s,11868.1,144.8s,11257.9,192.9s,8594.2,71.4s,12802.2,286.1s,10941.7,322.0s
841,Dancer,https://www.fflogs.com/reports/Hp43LRYzXyCJMPVm#fight=61&type=damage-done,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,11056.1,1141.0s,9864.4,127.3s,11970.5,142.8s,11239.4,192.1s,8231.1,71.5s,12004.1,286.1s,11194.8,321.2s
842,Summoner,https://www.fflogs.com/reports/KHfwyn3qdhv7tLPp#fight=9&type=damage-done,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,11076.5,1138.0s,9740.2,129.0s,12669.5,142.2s,10349.4,192.6s,10738.6,71.6s,12845.0,286.1s,10586.3,316.6s
843,Machinist,https://www.fflogs.com/reports/q3VtwLycC1dbKnX7#fight=2&type=damage-done,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,11076.4,1141.2s,10093.8,127.1s,11503.9,141.1s,11057.2,192.9s,10326.3,71.6s,12319.0,286.1s,10861.1,322.4s
844,Dancer,https://www.fflogs.com/reports/LpF8gNzdcRZ9fjq6#fight=6&type=damage-done,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,11075.9,1143.1s,9729.9,130.0s,11405.3,144.2s,9861.3,191.9s,13962.4,71.6s,12602.2,286.0s,10893.5,319.5s
845,Reaper,https://www.fflogs.com/reports/ZB3L7zDg9TKXFfj1#fight=17&type=damage-done,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,11075.6,1143.0s,10304.6,127.4s,11751.1,142.8s,10893.1,192.7s,9514.0,71.4s,11933.8,286.0s,11122.4,322.7s
846,Samurai,https://www.fflogs.com/reports/4VBMZpmbvaKx9Qw6#fight=15&type=damage-done,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,11075.0,1142.4s,10669.6,129.6s,10969.4,142.5s,10940.6,190.0s,11125.0,71.6s,12096.3,286.1s,10836.4,322.6s
847,Monk,https://www.fflogs.com/reports/2a6h9CLZpfmNKgyn#fight=14&type=damage-done,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,11074.9,1145.0s,10742.2,128.7s,10842.5,144.9s,10912.5,192.7s,9658.9,71.5s,12583.7,286.1s,10912.0,321.2s
848,Summoner,https://www.fflogs.com/reports/gYDcJvbn3BVTZpKq#fight=13&type=damage-done,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,11073.9,1144.8s,10006.1,128.5s,11859.9,143.7s,10511.3,193.3s,10701.9,71.6s,12451.1,286.1s,10922.3,321.6s
849,Ninja,https://www.fflogs.com/reports/cWHzdrCKLMTfGtvQ#fight=37&type=damage-done,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,11073.8,1137.0s,10347.7,128.6s,10043.3,141.1s,10924.0,190.4s,9961.9,71.6s,13151.9,286.0s,11057.3,319.3s
850,Summoner,https://www.fflogs.com/reports/hX7B1zyVKqCHFZmw#fight=25&type=damage-done,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,11073.4,1139.4s,10072.6,126.8s,12111.6,142.3s,10738.1,189.7s,9960.5,71.6s,12057.0,286.0s,11003.0,322.9s
851,Summoner,https://www.fflogs.com/reports/JQgzTBhZ76xXP2Ld#fight=4&type=damage-done,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,11073.1,1140.4s,10362.2,127.7s,11675.1,144.1s,10585.9,191.7s,10722.0,71.5s,12064.9,285.9s,10979.9,319.4s
852,Dancer,https://www.fflogs.com/reports/MDVwRLxctAX2K3Pr#fight=4&type=damage-done,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,11072.9,1142.7s,10183.6,127.5s,11526.6,144.6s,11518.1,189.5s,7690.4,71.5s,12450.0,286.1s,10995.3,323.5s
853,Monk,https://www.fflogs.com/reports/GChnF14NdWwbZjLM#fight=12&type=damage-done,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,11072.7,1136.2s,10513.4,129.3s,11527.0,140.9s,10945.1,185.9s,11002.8,71.6s,11544.9,286.1s,10985.5,322.5s
854,Monk,https://www.fflogs.com/reports/a:vyzmLCkG6XbqArF3#fight=23&type=damage-done,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,11072.5,1146.2s,10613.0,128.6s,11295.8,145.1s,10619.4,193.7s,9724.6,71.6s,12457.2,286.0s,11002.5,321.3s
855,Machinist,https://www.fflogs.com/reports/pXwWcMZ2FjNPqYry#fight=17&type=damage-done,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,11048.9,1132.0s,10499.4,126.9s,10989.7,141.2s,10555.1,187.0s,12688.5,71.5s,12142.3,285.9s,10691.1,319.4s
856,Monk,https://www.fflogs.com/reports/D6BP29AYTXqp7wMc#fight=5&type=damage-done,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,11071.4,1142.1s,10740.8,127.4s,10848.9,143.3s,10916.9,193.4s,9589.9,71.6s,11428.9,285.9s,11533.0,320.5s
857,Monk,https://www.fflogs.com/reports/zpMbxhfWHrVnZDg4#fight=13&type=damage-done,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,11070.1,1144.7s,10620.6,128.4s,11226.9,144.0s,10993.6,191.5s,8706.3,71.7s,12517.3,286.0s,10973.2,323.0s
858,Summoner,https://www.fflogs.com/reports/VxH9vC6pzgDQ8ndR#fight=10&type=damage-done,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,11068.6,1144.7s,9977.7,129.5s,11732.0,143.4s,10912.4,190.8s,10118.1,71.6s,12695.4,286.0s,10727.0,323.4s
859,Summoner,https://www.fflogs.com/reports/Kv3tARhj9gbPwJqT#fight=7&type=damage-done,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,11067.9,1144.1s,10118.5,130.4s,11635.1,144.2s,10516.5,192.3s,10594.4,71.6s,12385.9,286.0s,11003.2,319.5s
860,Machinist,https://www.fflogs.com/reports/qMBn2xrZV9ypkgXR#fight=13&type=damage-done,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,11034.4,1133.0s,10146.9,127.0s,11051.4,144.6s,10935.3,187.6s,9714.4,71.6s,12075.4,286.0s,11221.1,316.2s
861,Samurai,https://www.fflogs.com/reports/nQT71v3mWF6tqXyR#fight=21&type=damage-done,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,11067.0,1145.6s,10449.6,130.2s,11183.6,143.2s,10938.2,193.8s,10788.3,71.4s,11877.1,286.0s,11017.5,321.0s
862,Summoner,https://www.fflogs.com/reports/JtQbRV8vAZaPxT3y#fight=7&type=damage-done,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,11066.9,1141.1s,10078.7,129.3s,11269.3,141.9s,10434.9,194.0s,11466.9,71.6s,12740.4,285.9s,10856.6,318.4s
863,Machinist,https://www.fflogs.com/reports/3wfHQN1z4mtcMapr#fight=17&type=damage-done,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,11064.9,1145.8s,9570.3,130.0s,11655.7,141.5s,11315.2,193.4s,11049.5,71.5s,11798.3,286.0s,10999.9,323.4s
864,Dancer,https://www.fflogs.com/reports/6AYx9NrmCc4vnh18#fight=10&type=damage-done,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,11064.9,1146.0s,9587.7,129.7s,10855.5,145.2s,11538.0,193.2s,8330.2,71.6s,12958.0,285.9s,11132.7,320.5s
865,Samurai,https://www.fflogs.com/reports/PtbJVThfKqzpvYD8#fight=50&type=damage-done,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,11064.8,1137.9s,10947.4,129.3s,11002.0,143.1s,10993.0,186.0s,10895.3,71.6s,11479.0,286.1s,11001.6,321.8s
866,Monk,https://www.fflogs.com/reports/3mHCVGKXrWjbJDpd#fight=21&type=damage-done,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,11064.8,1147.5s,10242.5,129.3s,11386.6,144.9s,10785.4,192.7s,9746.5,71.6s,11891.2,286.0s,11315.6,323.1s
867,BlackMage,https://www.fflogs.com/reports/M3BfPw7VYqxWtkGd#fight=26&type=damage-done,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,11062.5,1143.7s,10914.1,128.6s,11080.0,144.6s,10861.8,194.0s,10272.4,71.6s,11967.1,286.0s,10922.7,318.8s
868,Dancer,https://www.fflogs.com/reports/DRvT1myX9zVMPcQk#fight=20&type=damage-done,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,11062.4,1145.6s,10063.9,129.4s,11219.9,144.2s,10065.5,192.6s,12170.8,71.6s,13075.9,286.0s,10763.6,321.7s
869,Samurai,https://www.fflogs.com/reports/rMxf4FB3k2pW8LRh#fight=8&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11061.8,1142.5s,10406.3,130.5s,11080.8,142.5s,11155.2,189.6s,9930.3,71.5s,12007.2,286.0s,11043.1,322.4s
870,BlackMage,https://www.fflogs.com/reports/aYDJkA7z4Xd3qxWP#fight=44&type=damage-done,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,11061.1,1136.9s,10720.8,128.2s,11704.4,141.7s,10705.2,189.8s,12639.2,71.6s,11700.6,286.1s,10487.6,319.6s
871,Dragoon,https://www.fflogs.com/reports/cKRHtxzrLZANfP3j#fight=12&type=damage-done,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,11060.7,1131.9s,9646.3,126.0s,11218.6,141.9s,11757.3,187.4s,9036.7,71.8s,11572.0,285.9s,11403.3,318.9s
872,Machinist,https://www.fflogs.com/reports/cd24wjTA7RBaLFgQ#fight=15&type=damage-done,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,11058.6,1140.5s,9527.6,127.9s,11891.7,143.9s,10082.7,192.4s,12677.9,71.6s,11961.7,286.2s,11197.1,318.5s
873,Dancer,https://www.fflogs.com/reports/BZbmy8VzPwhfFCQD#fight=11&type=damage-done,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,11058.5,1143.8s,9552.8,130.6s,11727.5,144.2s,11306.3,191.6s,8356.5,71.6s,12814.2,286.1s,10965.4,319.7s
874,Dancer,https://www.fflogs.com/reports/XtMq8kfvRKZG1wVD#fight=20&type=damage-done,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,11057.8,1146.6s,9700.6,128.4s,13453.7,145.1s,10133.8,192.5s,10968.8,71.6s,11601.6,286.1s,10942.4,322.8s
875,Machinist,https://www.fflogs.com/reports/b6KvDP4Wyhwkpmra#fight=9&type=damage-done,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,11057.3,1130.9s,10150.7,127.4s,11546.6,138.0s,10734.8,188.9s,11111.2,71.6s,11627.7,286.1s,11160.4,318.9s
876,Dancer,https://www.fflogs.com/reports/PaypfW9Tw7bmR1M4#fight=2&type=damage-done,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,11056.5,1141.0s,9432.6,129.7s,11337.3,144.2s,9849.4,190.4s,14356.8,71.5s,11763.4,285.9s,11380.9,319.2s
877,Dancer,https://www.fflogs.com/reports/LKpDMcmnQzwX4rFq#fight=2&type=damage-done,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,11055.8,1140.0s,9309.9,130.1s,11359.4,143.5s,11050.7,191.8s,8937.1,71.5s,12768.8,285.9s,11296.7,317.2s
878,Summoner,https://www.fflogs.com/reports/Cj9xYhkRadzDmHgw#fight=8&type=damage-done,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,11055.8,1134.7s,10111.1,128.2s,11864.8,141.9s,11170.6,189.4s,9319.7,71.6s,12325.6,285.9s,10768.9,317.6s
879,Bard,https://www.fflogs.com/reports/WLcJATfFtZv9d2Rb#fight=19&type=damage-done,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,11053.7,1131.2s,9520.1,127.5s,11571.5,141.7s,11787.3,185.2s,8847.6,71.6s,12176.3,285.9s,10996.1,319.3s
880,Dancer,https://www.fflogs.com/reports/6f832BcXkKwvZqN1#fight=11&type=damage-done,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,11053.7,1142.4s,9530.9,129.2s,11198.7,143.7s,11409.2,189.4s,9423.2,71.5s,12663.4,286.0s,10987.3,322.6s
881,Dragoon,https://www.fflogs.com/reports/pVF48G9DywQbCcqB#fight=30&type=damage-done,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,11053.2,1143.4s,10015.0,130.8s,12217.2,141.9s,11485.7,190.5s,9268.8,71.6s,11334.9,286.0s,11027.2,322.6s
882,Dancer,https://www.fflogs.com/reports/qfhBv91FzDgYAwWn#fight=17&type=damage-done,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,11051.9,1146.3s,9629.1,129.5s,11847.2,143.4s,11865.5,192.4s,7856.0,71.6s,12010.2,286.0s,11055.5,323.4s
883,Summoner,https://www.fflogs.com/reports/L41zh9ypFxZYTgdG#fight=1&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11051.4,1146.8s,9881.5,129.2s,11609.4,145.0s,10550.7,193.0s,10642.5,71.6s,12596.4,285.9s,10927.4,322.1s
884,Monk,https://www.fflogs.com/reports/6BgTYjc2J8NLqWQ4#fight=7&type=damage-done,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,11051.1,1146.4s,10700.7,129.7s,11265.0,143.9s,11220.4,191.9s,9225.3,71.6s,12553.1,286.0s,10596.3,323.3s
885,Dancer,https://www.fflogs.com/reports/dQ7Mwvr8LaFGfCbR#fight=18&type=damage-done,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,11050.5,1145.1s,10101.7,130.2s,11059.2,144.4s,11410.0,190.4s,9061.1,71.8s,13202.3,286.1s,10549.7,322.2s
886,Bard,https://www.fflogs.com/reports/yfFhnm49Z3prwqWJ#fight=7&type=damage-done,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,11049.7,1137.1s,9202.9,129.5s,12643.3,141.9s,11183.3,192.0s,8617.7,71.6s,11789.9,286.1s,11296.5,316.1s
887,Dragoon,https://www.fflogs.com/reports/GchXvqMf7tK19QJA#fight=22&type=damage-done,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,11049.6,1139.1s,9938.3,130.5s,11669.4,140.2s,10710.3,191.4s,10446.2,71.7s,12183.6,286.0s,11048.9,319.4s
888,Samurai,https://www.fflogs.com/reports/FbBkaHGnvhjJ7mKT#fight=44&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11049.3,1143.6s,9951.7,129.5s,11964.0,142.1s,10684.8,192.7s,11557.3,71.4s,11839.9,286.0s,10881.3,321.8s
889,Samurai,https://www.fflogs.com/reports/4cKGNB937aFzqdVD#fight=5&type=damage-done,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,11049.1,1148.0s,11023.4,129.8s,10262.3,145.7s,11043.5,193.0s,11362.2,71.7s,11061.9,286.1s,11339.1,321.6s
