,Rank,Job,Link,Astrologian,Bard,BlackMage,DarkKnight,Dragoon,Machinist,Monk,Ninja,Paladin,Scholar,Summoner,Warrior,WhiteMage,Red Mage,Samurai,Dancer,Gunbreaker,Reaper,Sage,TotalDPS,TotalTime,P1DPS,P1Time,P2DPS,P2Time,P3DPS,P3Time,P4DPS,P4Time,P5DPS,P5Time,P6DPS,P6Time
57,58,Monk,https://www.fflogs.com/reports/RrALcPD9yvBCk2Fq#fight=4&type=damage-done,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,11679.7,1137.4,10810.3,128.6,11873.7,138.7,10270.7,192.8,12659.0,71.6,13478.0,285.9,11694.9,319.8
58,59,Dragoon,https://www.fflogs.com/reports/qQd23N7AxKj1tnVg#fight=9&type=damage-done,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,11679.5,1138.7,10592.0,129.0,11820.2,142.7,11536.3,188.2,11292.6,71.5,12024.9,286.2,12122.2,321.1
59,60,Reaper,https://www.fflogs.com/reports/AvfBzP1tLNZVaXQ8#fight=14&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,11678.8,1140.7,11403.6,129.0,11606.7,143.3,11696.5,190.4,10428.4,71.6,12261.5,286.1,11776.2,320.4
60,61,Ninja,https://www.fflogs.com/reports/MKvm8qxPja9F1XGN#fight=14&type=damage-done,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,11675.1,1145.4,10306.1,129.7,11453.4,144.1,11912.7,190.6,10893.8,71.6,13227.1,286.1,11621.1,323.3
61,62,Ninja,https://www.fflogs.com/reports/q3VtwLycC1dbKnX7#fight=2&type=damage-done,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,11674.6,1141.2,11076.5,127.1,12054.9,141.1,11641.6,192.9,10384.4,71.6,13186.0,286.1,11271.5,322.4
62,63,Ninja,https://www.fflogs.com/reports/a:AyjdvVnfDBwZFpr2#fight=8&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11674.0,1148.0,10743.6,130.6,11960.3,145.5,11786.2,193.4,9292.0,71.6,13861.4,286.0,11249.2,321.0
63,64,Dragoon,https://www.fflogs.com/reports/yh9tCa4bpcnKVmX2#fight=12&type=damage-done,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,11670.9,1135.3,9875.5,127.5,14018.5,141.6,11164.9,189.4,10570.7,71.6,12041.0,286.1,11859.2,319.1
64,65,Reaper,https://www.fflogs.com/reports/RTXwpdJFh1VLy7kP#fight=10&type=damage-done,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,11670.1,1144.9,10305.2,129.5,11852.4,143.1,10707.6,193.3,12702.9,71.6,12324.5,286.0,12269.2,321.4
65,66,Dragoon,https://www.fflogs.com/reports/4taAZCfc8MnkrTjy#fight=7&type=damage-done,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,11669.7,1145.5,10685.4,130.4,13643.5,142.1,10451.0,193.4,12049.2,71.6,12479.0,286.1,11530.4,322.0
66,67,Ninja,https://www.fflogs.com/reports/XWc7V4dAB1CYJKah#fight=1&type=damage-done,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,11668.7,1138.4,11234.3,127.8,11615.0,142.0,10756.7,191.7,12879.2,71.6,13264.9,286.1,11328.2,319.2
